,movieId,tag,dark,funny,ferell
0,60756,funny,5,0,5
1,60756,Highly,6,5,5
1,60756,quotable,7,7,7
2,60756,will,4,5,4
2,60756,ferrell,6,6,1
3,89774,Boxing,6,5,6
3,89774,story,4,4,6
4,89774,MMA,4,5,6
5,89774,Tom,4,5,6
5,89774,Hardy,3,4,5
6,106782,drugs,4,5,5
7,106782,Leonardo,6,7,7
7,106782,DiCaprio,6,8,8
8,106782,Martin,4,6,5
8,106782,Scorsese,7,8,6
9,48516,way,3,4,6
9,48516,too,4,5,6
9,48516,long,4,4,6
10,431,Al,4,5,5
10,431,Pacino,5,5,6
11,431,gangster,7,7,8
12,431,mafia,4,5,6
13,1221,Al,4,5,5
13,1221,Pacino,5,5,6
14,1221,Mafia,4,5,6
15,5995,holocaust,8,9,9
16,5995,true,4,5,5
16,5995,story,4,4,6
17,44665,twist,5,5,6
17,44665,ending,5,5,6
18,52604,Anthony,7,5,7
18,52604,Hopkins,6,6,7
19,52604,courtroom,8,8,8
19,52604,drama,3,5,5
20,52604,twist,5,5,6
20,52604,ending,5,5,6
21,88094,britpop,7,7,7
22,88094,indie,5,5,6
22,88094,record,5,6,5
22,88094,label,4,5,4
23,88094,music,5,4,6
24,144210,dumpster,7,7,8
24,144210,diving,5,5,6
25,144210,Sustainability,13,11,13
26,1569,romantic,7,7,8
26,1569,comedy,6,5,5
27,1569,wedding,6,6,6
28,118985,painter,6,6,7
29,119141,bloody,6,5,6
30,109487,black,3,5,6
30,109487,hole,4,5,5
31,109487,sci-fi,6,6,6
32,109487,time-travel,10,11,8
33,2,fantasy,6,4,6
34,2,magic,4,5,6
34,2,board,3,5,6
34,2,game,3,5,5
35,2,Robin,5,5,6
35,2,Williams,7,8,8
36,110,beautiful,8,8,7
36,110,scenery,6,5,5
37,110,epic,4,5,5
38,110,historical,9,10,8
39,110,inspirational,12,12,11
40,110,Medieval,7,8,5
41,110,mel,4,5,4
41,110,gibson,6,6,6
42,110,Oscar,4,5,6
42,110,(Best,5,5,5
42,110,Cinematography),13,13,13
43,110,revenge,7,6,5
44,110,sword,4,5,6
44,110,fight,5,4,5
45,410,black,3,5,6
45,410,comedy,6,5,5
46,410,Christina,8,8,8
46,410,Ricci,5,5,6
47,410,Christopher,10,11,10
47,410,Lloyd,5,5,6
48,410,dark,0,5,5
48,410,comedy,6,5,5
49,410,family,5,4,4
50,410,gothic,6,6,6
51,2023,Al,4,5,5
51,2023,Pacino,5,5,6
52,2023,Andy,4,3,6
52,2023,Garcia,4,6,5
53,2023,Classic,6,7,7
54,2023,Francis,6,6,7
54,2023,Ford,3,5,5
54,2023,Coppola,7,7,6
55,2023,mafia,4,5,6
56,2124,black,3,5,6
56,2124,comedy,6,5,5
57,2124,Christina,8,8,8
57,2124,Ricci,5,5,6
58,2124,Christopher,10,11,10
58,2124,Lloyd,5,5,6
59,2124,Family,5,5,5
60,2124,gothic,6,6,6
61,2124,quirky,4,4,6
62,2953,family,5,4,4
63,2953,funny,5,0,5
64,2953,Macaulay,7,6,7
64,2953,Culkin,5,5,6
65,2953,sequel,6,6,4
66,3114,animation,8,9,9
67,3114,Disney,6,4,6
68,3114,funny,5,0,5
69,3114,original,8,7,7
70,3114,Pixar,4,5,6
71,3114,sequel,6,6,4
72,3114,Tom,4,5,6
72,3114,Hanks,3,4,6
73,3578,ancient,7,6,6
73,3578,Rome,4,5,5
74,3578,Epic,4,5,6
75,3578,history,6,6,7
76,3578,imdb,4,5,6
76,3578,top,4,5,6
76,3578,250,4,5,6
77,3578,revenge,7,6,5
78,3578,Rome,4,5,5
79,3578,Russell,7,6,4
79,3578,Crowe,5,5,5
80,4223,Ed,4,5,6
80,4223,Harris,4,6,5
81,4223,Jude,4,4,5
81,4223,Law,3,5,6
82,4223,Rachel,5,6,5
82,4223,Weisz,5,5,5
83,4223,sniper,6,6,6
84,4223,World,4,5,4
84,4223,War,2,5,5
84,4223,II,4,5,6
85,5388,Al,4,5,5
85,5388,Pacino,5,5,6
86,5388,atmospheric,10,11,10
87,5388,Hilary,4,5,6
87,5388,Swank,3,4,6
88,5388,Robin,5,5,6
88,5388,Williams,7,8,8
89,6058,sequel,6,6,4
90,6058,violent,7,6,6
91,6534,dogs,3,5,6
92,6534,Eric,4,5,5
92,6534,Bana,3,4,6
93,6534,mad,3,5,6
93,6534,scientist,9,8,8
94,6534,marvel,4,6,4
95,6541,captain,6,7,7
95,6541,nemo,4,5,5
96,6541,comic,5,5,6
96,6541,book,3,5,6
97,6541,gothic,6,6,6
